actor,weibo_name,follower
陈飞宇,陈飞宇Arthur,1235.9万
冯小刚,冯小刚,2193万
张嘉益,张嘉益工作室,44.1万
吴卓羲,Ron吳卓羲,357万
姜珮瑶,姜珮瑶,87.4万
樊治欣,樊治欣FAN,465.6万
胡先煦,演员胡先煦,544.4万
张震岳,張震嶽,213.4万
张碧晨,张碧晨,2633.3万
黄雅莉,黄雅莉,535万
程不时,程不时2020,93
张稀也,张稀也,183.4万
李厚辰,No weibo account,
尚敬,尚敬导演,11.8万
娄艺潇,娄艺潇,1725万
王冰甜,加油啊小Z,448
仁科,仁科renke,18.5万
赖声川,赖声川,203万
肖凯中,肖凯中KEVIN,365.7万
李松蔚,李松蔚PKU,63.5万
吴宣仪,吴宣仪_Betty,2469.4万
马天宇,馬天宇,3298.5万
李歌洋,李歌洋Lee,644.9万
杨小璇,杨小璇here,1987
冯文娟,冯文娟,370.8万
姚弛,姚弛Zeawo,540.9万
李雪琴,我是李雪琴啊,820.3万
季肖冰,季肖冰,691.7万
王菊,王菊,1035万
翟巍,大胃宅,1.8万
王悦伊,王悦伊,234.9万
成果,成果成果成狗,430万
万茜,万茜,737.4万
贾玲,贾玲,1675.9万
乔欣,乔欣Bridgette,1306.9万
陈意涵,陳意涵,1960.3万
曾毅,曾少主,54.2万
张宸逍,张宸逍,118.7万
韩烨洲,大壮其实叫韩烨洲,27.1万
宁理,演员宁理,113.4万
秦昊,秦昊,1343万
大牛,唱歌的大牛,78.2万
孔雪儿,孔雪儿,941.3万
夏雨,夏雨,354.7万
万苏婉,No weibo account,
杨超文,木易杨超文,72.7万
陈海贤,No weibo account,
屈楚萧,屈楚萧,481.8万
张予佟,张予佟,5149
王正蓉,No weibo account,
王小川,王小川,290.6万
郭涛,HI郭涛,327.4万
孟非,孟非,3386.3万
田曦薇,田曦薇,671.9万
牛玉生,No weibo account,
王乾越,王乾越的微博,1067.3万
肖然心,肖然心-,41.6万
杨伊墨,杨伊墨,61.2万
钟丽缇,钟丽缇Christy,546.7万
陈铭,陈铭Calvin,182.5万
马未都,马未都,378.4万
陈瑾,陈瑾教授-皮肤美容,101万
温茉言,温茉言_点点,209.7万
黄思瑞,叫我黄思瑞,102.5万
黄梦莹,黄梦莹maggie,771.7万
万宝鹿,No weibo account,
阿云嘎,阿云嘎Musical,560.6万
咏梅,咏梅的微,147万
王浩,TF家族-王Hao,56.3万
林栋,摄影师林栋,1.2万
