剧名,集数,制作,首播,主演,题材
上阳赋,68,2018,1月8日 长沙新闻频道，1月9日优酷,章子怡、周一围、于和伟,古装
这个世界不看脸,56,2016,1月11日 江苏卫视,张鲁一、吴倩、张萌（客串ː何美钿、吴岱融）,都市
小重逢,45,2017,1月12日 吉视都市频道,许亚军、王琳、路晨、张定涵、萨日娜,婚姻
你好，对方辩友2,30,2020,1月14日 芒果TV,吴佳怡、翟子路、鲁照华、米咪,都市
紧急公关,40,2019,1月16日 央视八套,黄晓明、谭卓、蔡文静,都市
当天真遇见爱情,40,2020,1月18日 湖南卫视青春进行时,魏千翔、吴施乐、种丹妮、朱嘉琦,都市
暗恋橘生淮南,38,2018,1月20日 腾讯视频/芒果TV,胡一天、胡冰卿、张逸杰、刘美含,都市
美发奇缘,32,2011,1月20日 搜狐视频,曾江、陈莎莉、季肖冰、邬祯琳,都市
奶爸当家,42,2015,1月22日 优酷,黄宗泽、阚清子、罗云熙、刘宇桥,都市
正青春,47,2018,1月24日 浙江/东方卫视,殷桃、吴谨言、左小青、刘敏涛,都市
假日暖洋洋,35,2020,1月25日 北京卫视,姚晨、白宇、大鹏、张静初（客串ː邵兵、石兆琪、陈祉希）,都市
风起霓裳,40,2020,1月27日 湖南卫视金鹰独播剧场,古力娜扎、许魏洲,古装
英雄觉醒,36,,1月27日 腾讯视频/爱奇艺/优酷,周轩墨,少儿
玲珑,40,2019,1月29日 腾讯视频/芒果TV,赵今麦、袁弘、林一,古装
一起学习吧,26,2020,2月1日 芒果TV,钟宝儿、李俊豪,青春
我的时代，你的时代,38,2020,2月4日 爱奇艺,胡一天、李一桐,都市
斗罗大陆,40,2019,2月5日 央视八套 (中午),肖战、吴宣仪,古装
情满大湾,8,,2月11日 深圳电视剧频道,,都市
甜蜜,46,2019,2月18日 央视八套,海清、任重,都市
你好，安怡,30,2018,2月19日 爱奇艺/腾讯视频,马天宇、戚薇,科幻
暴风眼,40,2019,2月23日 浙江/东方卫视,杨幂、张彬彬,悬疑
爱的理想生活,43,2020,3月1日 湖南卫视金鹰独播剧场,殷桃、宋轶、魏大勋,都市
生活万岁,38,2020,3月3日 央视八套,刘威、王鸥、孙艺洲、代旭,都市
